Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
217	2931.283442258835	1000	219000	-9.40610293086873	-3005.0637911854787	473	219000
218	2944.7093181610107	1000	220000	-9.40610293086873	-3005.7786817947926	474	220000
219	2958.1413881778717	1000	221000	-9.40610293086873	-3006.000788376362	475	221000
220	2971.567018032074	1000	222000	-9.40610293086873	-3003.685415267873	476	222000
221	2984.9824030399323	1000	223000	-9.40610293086873	-3007.0915190575	477	223000
222	2998.389783143997	1000	224000	-9.40610293086873	-3002.2209852227707	478	224000
223	3011.7998740673065	1000	225000	-9.40610293086873	-3001.024485804907	479	225000
224	3025.21892118454	1000	226000	-9.40610293086873	-3002.971573291296	480	226000
225	3038.634215116501	1000	227000	-9.40610293086873	-3003.1653538031164	481	227000
226	3052.0472843647003	1000	228000	-9.40610293086873	-3002.844189926119	482	228000
227	3065.465593099594	1000	229000	-9.40610293086873	-3003.8812289840143	483	229000
228	3078.8849840164185	1000	230000	-9.40610293086873	-3003.868020129277	484	230000
229	3092.2963540554047	1000	231000	-9.40610293086873	-3004.2745175589275	485	231000
230	3105.8069541454315	1000	232000	-9.40610293086873	-3005.191021735479	486	232000
231	3119.286054134369	1000	233000	-9.40610293086873	-3006.0555136218672	487	233000
232	3132.8632271289825	1000	234000	-9.40610293086873	-3003.8702220827126	488	234000
233	3146.340485095978	1000	235000	-9.40610293086873	-3006.156491124632	489	235000
234	3159.786851167679	1000	236000	-9.40610293086873	-3002.6600607252094	490	236000
235	3173.240492105484	1000	237000	-9.40610293086873	-3001.7220262792653	491	237000
236	3186.701832294464	1000	238000	-9.40610293086873	-3004.8014293140054	492	238000
237	3200.1620371341705	1000	239000	-9.40610293086873	-3003.7905048916673	493	239000
238	3213.673402070999	1000	240000	-9.40610293086873	-3005.0972971331653	494	240000
239	3227.170184135437	1000	241000	-9.40610293086873	-3003.4318883343044	495	241000
